year,sex,number_of_cm,name,age,group
2014,f,12,大島優子,,
2014,f,12,桐谷美玲,,
2014,f,12,島崎遥香,,
2014,f,12,堀北真希,,
2014,f,11,武井咲,,
2014,f,11,渡辺麻友,,
2014,f,10,杏,,
2014,f,10,小嶋陽菜,,
2014,f,10,ベッキー,,
2014,f,10,本田翼,,
2014,f,10,マツコ・デラックス,,
2014,f,9,石原さとみ,,
2014,f,9,山本美月,,
2015,m,12,相葉雅紀,,嵐）
2015,m,11,櫻井翔,,嵐）
2015,m,11,二宮和也,,嵐）
2015,m,10,大野智,,嵐）
2015,m,10,錦織圭,,
2015,m,10,西島秀俊,,
2015,m,10,松岡修造,,
2015,m,9,岡田准一,,Ｖ６）
2015,m,9,松本潤,,嵐）
2015,m,8,笑福亭鶴瓶,,
2015,m,8,登坂広臣,,三代目 J Soul Brothers）
2015,m,8,松坂桃李,,
2015,m,8,向井理,,
2015,m,8,村上信五,,関ジャニ∞）
2015,m,7,阿部寛,,
2015,m,7,有吉弘行,,
2015,m,7,妻夫木聡,,
2015,m,7,本田圭佑,,
2015,m,7,松重豊,,
2015,f,13,上戸彩,,
2015,f,12,有村架純,,
2015,f,12,杏,,
2015,f,12,広瀬すず,,
2015,f,12,山本美月,,
2015,f,11,ローラ,,
2015,f,10,大島優子,,
2015,f,10,桐谷美玲,,
2015,f,10,指原莉乃,,
2015,f,10,マツコ・デラックス,,
2015,f,9,綾瀬はるか,,
2015,f,9,木村文乃,,
2015,f,9,佐々木希,,
2015,f,9,武井咲,,
2015,f,9,本田翼,,
2015,f,9,吉田羊,,
2015,f,8,石原さとみ,,
2015,f,8,米倉涼子,,
2015,f,8,吉瀬美智子,,
2016,m,12,相葉　雅紀,,嵐）
2016,m,12,錦織　圭,,
2016,m,11,櫻井　翔,,嵐）
2016,m,11,西島　秀俊,,
2016,m,11,二宮　和也,,嵐）
2016,m,11,遠藤　憲一,,
2016,m,10,ＤＡＩＧＯ,,BREAKERZ）
2016,m,10,長瀬　智也,,ＴＯＫＩＯ）
2016,m,10,松本　潤,,嵐）
2016,m,9,大野　智,,嵐）
2016,m,9,斎藤　司,,トレンディエンジェル）
2016,m,9,松岡　修造,,
2016,m,8,小栗　旬,,
2016,m,8,城島　茂,,ＴＯＫＩＯ）
2016,m,8,松重　豊,,
2016,f,13,吉田　羊,,
2016,f,12,広瀬　すず,,
2016,f,12,マツコ・デラックス,,
2016,f,12,ローラ,,
2016,f,11,有村　架純,,
2016,f,11,松岡　茉優,,
2016,f,10,桐谷　美玲,,
2016,f,10,平　祐奈,,
2016,f,10,波瑠,,
2016,f,9,綾瀬　はるか,,
2016,f,9,杏,,
2016,f,9,上戸　彩,,
2016,f,9,木村　文乃,,
2016,f,9,山本　美月,,
2017,m,12,遠藤　憲一,,
2017,m,11,相葉　雅紀,,
2017,m,11,錦織　圭,,
2017,m,10,二宮　和也,,
2017,m,10,松本　潤,,
2017,m,9,櫻井　翔,,
2017,m,9,ＤＡＩＧＯ,,
2017,m,9,西島　秀俊,,
2017,m,9,山_　賢人,,
2017,m,8,斎藤　工,,
2017,m,8,坂口　健太郎,,
2017,m,8,白濱　亜嵐,,
2017,m,8,長瀬　智也,,
2017,m,8,濱田　岳,,
2017,m,8,松坂　桃李,,
2017,m,8,松重　豊,,
2017,f,15,ローラ,,
2017,f,14,広瀬　すず,,
2017,f,11,有村　架純,,
2017,f,10,綾瀬　はるか,,
2017,f,10,上戸　彩,,
2017,f,10,高畑　充希,,
2017,f,10,武井　咲,,
2017,f,10,波瑠,,
2017,f,10,吉岡　里帆,,
2017,f,10,吉田　羊,,
2017,f,9,新垣　結衣,,
2017,f,9,川口　春奈,,
2017,f,9,佐々木　希,,
2017,f,9,本田　翼,,
2017,f,9,宮_　あおい,,
2017,f,9,山本　美月,,
2017,f,9,渡辺　直美,,
2017,f,8,石原　さとみ,,
2017,f,8,北川　景子,,
2017,f,8,新川　優愛,,
2017,f,8,桐谷　美玲,,
2017,f,8,長澤　まさみ,,
2017,f,8,菜々緒,,
2017,f,8,マツコ・デラックス,,
2018,m,14,出川　哲朗,,
2018,m,11,秋山　竜次,,
2018,m,11,高橋　一生,,
2018,m,10,錦織　圭,,
2018,m,9,相葉　雅紀,,
2018,m,9,遠藤　憲一,,
2018,m,9,櫻井　翔,,
2018,m,9,サンドウィッチマン,,
2018,m,9,長友　佑都,,
2018,m,9,二宮　和也,,
2018,m,8,内村　航平,,
2018,m,8,神木　隆之介,,
2018,m,8,斎藤　工,,
2018,m,8,長瀬　智也,,
2018,m,8,西島　秀俊,,
2018,m,8,濱田　岳,,
2018,m,8,松重　豊,,
2018,m,8,松本　潤,,
2018,f,18,白石　麻衣,,
2018,f,15,広瀬　すず,,
2018,f,12,有村　架純,,
2018,f,12,渡辺　直美,,
2018,f,12,ローラ,,
2018,f,11,綾瀬　はるか,,
2018,f,11,川栄　李奈,,
2018,f,11,齋藤　飛鳥,,
2018,f,11,西野　七瀬,,
2018,f,11,吉田　羊,,
2018,f,10,芦田　愛菜,,
2018,f,9,新垣　結衣,,
2018,f,9,飯豊　まりえ,,
2018,f,9,石原　さとみ,,
2018,f,9,上戸　彩,,
2018,f,9,北川　景子,,
2018,f,9,清野　菜名,,
2018,f,9,高畑　充希,,
2018,f,9,土屋　太鳳,,
2018,f,9,菜々緒,,
2018,f,9,広瀬　アリス,,
2018,f,9,深田　恭子,,
2018,f,9,松岡　茉優,,
2018,f,8,朝見　心,,
2018,f,8,木村　文乃,,
2018,f,8,桐谷　美玲,,
2018,f,8,小松　菜奈,,
2018,f,8,中条　あやみ,,
2018,f,8,浜辺　美波,,
2018,f,8,本田　望結,,
2018,f,8,宮_　あおい,,
2018,f,8,吉岡　里帆,,
