year,sex,number_of_cm,name,age,group
1996,f,6,雛形　あきこ,,
1996,f,6,牧瀬　里穂,,
1996,f,6,和久井　映見,,
1997,m,7,香取　慎吾,,
1997,m,7,ナインティナイン,,
1997,m,7,中居　正広,,
1997,m,6,木村　拓哉,,
1997,m,6,草_　剛,,
1997,m,6,所　ジョージ,,
1997,m,6,前園　真聖,,
1997,m,6,反町　隆史,,
1997,m,6,道場　六三郎,,
1997,m,6,内藤　剛志,,
1997,m,6,田村　正和,,
1997,m,6,本木　雅弘,,
1997,f,11,鈴木　蘭々,,
1997,f,11,安室　奈美恵,,
1997,f,9,飯島　直子,,
1997,f,7,江角　マキコ,,
1997,f,7,大塚　寧々,,
1997,f,7,佐藤　康恵,,
1997,f,7,三田　佳子,,
1997,f,7,観月　ありさ,,
1997,f,7,渡辺　満里奈,,
1997,f,6,一色　紗英,,
1997,f,6,内田　有紀,,
1997,f,6,黒谷　友香,,
1997,f,6,鈴木　杏樹,,
1997,f,6,瀬戸　朝香,,
1997,f,6,ともさか　りえ,,
1997,f,6,中山　美穂,,
1997,f,6,雛形　あきこ,,
1997,f,6,牧瀬　里穂,,
1997,f,6,和久井　映見,,
1998,m,9,所　ジョージ,,
1998,m,8,中居　正広,,
1998,m,8,反町　隆史,,
1998,m,7,本木　雅弘,,
1998,m,7,金城　武,,
1998,m,7,草_　剛,,
1998,m,6,香取　慎吾,,
1998,m,6,竹野内　豊,,
1998,m,6,ＫｉｎＫｉ　Ｋｉｄｓ,,
1998,m,6,爆笑問題,,
1998,m,6,内藤　剛志,,
1998,m,6,役所　広司,,
1998,m,6,イッセー　尾形,,
1998,f,11,吉川　ひなの,,
1998,f,9,ＳＰＥＥＤ,,
1998,f,9,佐藤　藍子,,
1998,f,8,飯島　直子,,
1998,f,8,松本　莉緒,,
1998,f,7,ビビアン・スー,,
1998,f,7,江角　マキコ,,
1998,f,7,木村　佳乃,,
1998,f,7,ともさか　りえ,,
1998,f,7,広末　涼子,,
1998,f,7,藤原　紀香,,
1998,f,7,松　たか子,,
1998,f,6,浅田　美代子,,
1998,f,6,稲森　いずみ,,
1998,f,6,酒井　法子,,
1998,f,6,篠原　ともえ,,
