,drama_title,Episode1,Episode2,Episode3,Episode4,Episode5,Episode6,Episode7,Episode8,Episode9,Episode10,Episode11,Episode12,Episode13,Episode14,Episode15,average,suii,pre_part,part_count,start_at,drama_key,main_actor1,main_actor2,original_work,actor_actress_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,2015_1,2016_1,2017_1,2018_1,2019_1,actor_actress_2,2008_2,2009_2,2010_2,2011_2,2012_2,2013_2,2014_2,2015_2,2016_2,2017_2,2018_2,2019_2,actor_actress_3,2008_3,2009_3,2010_3,2011_3,2012_3,2013_3,2014_3,2015_3,2016_3,2017_3,2018_3,2019_3,actor_actress_4,2008_4,2009_4,2010_4,2011_4,2012_4,2013_4,2014_4,2015_4,2016_4,2017_4,2018_4,2019_4,main_actor1_rank,main_actor2_rank,average_calc,main_actor1_pt,main_actor2_pt,TV_station_CX,TV_station_EX,TV_station_NTV,TV_station_TBS,start_at_month_1,start_at_month_4,start_at_month_7,start_at_month_10,start_at_year_2011,start_at_year_2012,start_at_year_2013,start_at_year_2014,start_at_year_2015,start_at_year_2016,start_at_year_2017,start_at_year_2018,start_at_year_2019,has_original_work_True,has_original_work_,time_table_土21,time_table_土22,time_table_土23,time_table_日21,time_table_日22,time_table_日23,time_table_月20,time_table_月21,time_table_木20,time_table_木21,time_table_木22,time_table_木23,time_table_水21,time_table_水22,time_table_火21,time_table_火22,time_table_金20,time_table_金22,time_table_金23,actor1_isj,actor2_isj
10,おっさんずラブ,5.8,4.7,3.5,4.6,4.3,4.2,4.3,5.1,-,-,-,-,-,-,-,4.56,3-4-0,4,2,2019/10/1,1910_EX_土23,田中圭,吉田鋼太郎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5625,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,グランメゾン東京,12.4,13.2,11.8,13.3,12.6,11.8,11.8,11,14.7,11.1,-,-,-,-,-,12.35,2003/5/1,0,,2019/10/1,1910_TBS_日21,木村拓哉,鈴木京香,,木村拓哉,,,4,19,14,13,27,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,12.37,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,ニッポンノワール,7.8,6.5,6.4,6.5,7.1,6.4,6,7.1,6.9,8.1,-,-,-,-,-,6.88,4-5-0,0,,2019/10/1,1910_NTV_日22,賀来賢人,広末涼子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,監察医 朝顔,13.7,12.3,12.3,12.3,12.3,14.4,11.4,10.2,12.7,12.3,13.3,-,-,-,-,12.56,2003/4/3,0,,2019/7/1,1907_CX_月21,上野樹里,時任三郎,香川まさひと、木村直巳「監察医 朝顔」,,,,,,,,,,,,,,上野樹里,,,,18,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.47272727,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,TWO WEEKS,8.4,5.9,6.4,5.4,6.2,6.2,6.1,6,6.7,7.7,-,-,-,-,-,6.55,2004/4/1,0,,2019/7/1,1907_CX_火21,三浦春馬,芳根京子,ソ・ヒョンギョン「TWO WEEKS」,三浦春馬,,,30,,23,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,6.5,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,Heaven？,10.8,9.2,8.7,10,7.8,7.5,8.1,7.5,8.5,8.7,-,-,-,-,-,8.68,4-5-0,0,,2019/7/1,1907_TBS_火22,石原さとみ,福士蒼汰,佐々木倫子「Heaven？ ご苦楽レストラン」,,,,,,,,,,,,,,石原さとみ,,,,21,23,19,8,12,5,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,偽装不倫,10.1,11.2,9,9.8,9.4,9.3,11.3,10.9,9.7,12.4,-,-,-,-,-,10.31,4-5-0,0,,2019/7/1,1907_NTV_水22,杏,宮沢氷魚,東村アキコ「偽装不倫」,,,,,,,,,,,,,,杏,,,,,,,15,7,11,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.31,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,サイン,14.3,9.5,11.5,9.5,10.7,9.9,10,11.1,12.1,-,-,-,-,-,-,11.09,5-3-0,0,,2019/7/1,1907_EX_木21,大森南朋,松雪泰子,「サイン」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松雪泰子,,,,,30,,,,,,,,,,10.95555556,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,ルパンの娘,8.4,7.4,8.2,5.8,6,5.4,6.7,5.7,6.9,8.3,9.8,-,-,-,-,7.17,6-4-0,0,,2019/7/1,1907_CX_木22,深田恭子,瀬戸康史,横関大「ルパンの娘」,,,,,,,,,,,,,,深田恭子,,,20,17,21,13,18,18,8,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,7.145454545,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,わたし旦那をシェアしてた,3.1,3.1,4,3.7,2.8,2.5,2.3,4.4,4.1,2.8,-,-,-,-,-,3.28,2002/6/1,0,,2019/7/1,1907_NTV_木23,小池栄子,りょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,凪のお暇,10.3,9.5,9.1,9.8,8.6,10.3,10.8,9.9,10.3,10.8,-,-,-,-,-,9.95,5-4-0,0,,2019/7/1,1907_TBS_金22,黒木華,高橋一生,コナリミサト「凪のお暇」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,セミオトコ,4,4.4,3.6,2.4,3.5,3,3.2,4.3,-,-,-,-,-,-,-,3.55,4-3-0,0,,2019/7/1,1907_EX_金23,山田涼介,木南晴夏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
22,ボイス,12.6,8.4,10.7,9.3,11.9,11.1,10.9,11.2,10.4,12.9,-,-,-,-,-,10.94,4-5-0,0,,2019/7/1,1907_NTV_土22,唐沢寿明,真木よう子,「Voice」,唐沢寿明,,,15,11,30,12,23,22,20,25,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,10.94,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,べしゃり暮らし,2.6,2,2.2,2.1,2.3,2.5,2,3,-,-,-,-,-,-,-,2.34,4-3-0,0,,2019/7/1,1907_EX_土23,間宮祥太朗,渡辺大知,森田まさのり「べしゃり暮らし」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3375,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,ノーサイド・ゲーム,13.5,11.8,10.9,10.6,11.4,13,9.7,11.3,12.2,13.8,-,-,-,-,-,11.96,5-4-0,0,,2019/7/1,1907_TBS_日21,大泉洋,松たか子,池井戸潤「ノーサイド・ゲーム」,大泉洋,,,,16,9,9,13,12,5,3,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,松たか子,,,16,19,,,23,11,17,,,,,16,11.82,0,24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,あなたの番です,9.2,9.2,10.9,9.5,10.2,10.2,11,13,12.3,19.4,-,-,-,-,-,11.49,2005/2/2,0,,2019/7/1,1907_NTV_日22,田中圭,原田知世,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,ラジエーションハウス,12.7,12.3,11.5,9.1,10.8,13.2,11.4,13.3,11.5,13.3,13.8,-,-,-,-,12.15,5-5-0,0,,2019/4/1,1904_CX_月21,窪田正孝,本田翼,横幕智裕、モリタイシ「ラジエーションハウス」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08181818,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,パーフェクトワールド,6.9,5.8,6,6.5,6.1,6.3,6.1,6.1,6.6,7.1,-,-,-,-,-,6.37,2005/3/1,0,,2019/4/1,1904_CX_火21,松坂桃李,山本美月,有賀リエ「パーフェクトワールド」,松坂桃李,,,,,,,,,25,19,19,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,わたし、定時で帰ります。,9.5,10.4,6.5,8.4,9.8,10.3,10.3,9.1,10.2,12.5,-,-,-,-,-,9.72,2006/2/1,0,,2019/4/1,1904_TBS_火22,吉高由里子,向井理,朱野帰子「わたし、定時で帰ります。」,,,,,,,,,,,,,,吉高由里子,,,,,,28,,26,,21,,,向井理,,,,15,2,5,10,19,12,,,,,,,,,,,,,,,,,,,9.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,白衣の戦士！,10.3,9.3,9.3,8.4,8.3,7.2,7.7,8.4,8.6,9.6,-,-,-,-,-,8.71,2004/4/1,0,,2019/4/1,1904_NTV_水22,中条あやみ,水川あさみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.71,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,緊急取調室,15.2,13.4,12.3,12.6,13.7,12.3,12.9,12.8,12.9,13.6,-,-,-,-,-,13.23,5-4-0,13.9,3,2019/4/1,1904_EX_木21,天海祐希,田中哲司,,,,,,,,,,,,,,,天海祐希,,,1,6,3,3,9,8,7,8,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,13.17,39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,ストロベリーナイト・サーガ,7.8,6.4,6.6,6.7,6.7,6.8,6.2,5.2,6.2,6.2,7.9,-,-,-,-,6.71,2005/3/2,0,,2019/4/1,1904_CX_木22,二階堂ふみ,亀梨和也,誉田哲也「姫川玲子シリーズ」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.609090909,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
32,向かいのバズる家族,2.7,2.7,1.9,2.4,2,1.5,2.8,2.7,2.3,2.1,-,-,-,-,-,2.31,2002/6/1,0,,2019/4/1,1904_NTV_木23,内田理央,白洲迅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,インハンド,11.3,9.5,9.1,7.7,9,9.8,9,7.6,8.5,8.5,10.8,-,-,-,-,9.22,2004/5/1,0,,2019/4/1,1904_TBS_金22,山下智久,濱田岳,朱戸アオ「インハンド」,山下智久,,,13,23,,,,,,,28,20,,,,,,,,,,,,,,濱田岳,,,,,,,,,,28,,,,,,,,,,,,,,,,13,,9.163636364,27,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
34,家政夫のミタゾノ,8.2,6.5,7.5,7.4,5.9,5.6,5.7,6.4,-,-,-,-,-,-,-,6.65,3-4-0,6.7,3,2019/4/1,1904_EX_金23,松岡昌宏,伊野尾慧,,松岡昌宏,,,,,,,,25,,30,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.65,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
35,俺のスカート、どこ行った？,10.9,9.7,7.9,8.6,8.5,7.3,8.5,7.9,8.9,8.7,-,-,-,-,-,8.69,3-6-0,0,,2019/4/1,1904_NTV_土22,古田新太,松下奈緒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松下奈緒,,,,23,,,29,,,,,,,,8.69,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,東京独身男子,5.7,3.2,4,3.1,3.1,4.8,4.1,3.5,-,-,-,-,-,-,-,3.94,2002/4/1,0,,2019/4/1,1904_EX_土23,高橋一生,滝藤賢一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9375,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,集団左遷!!,13.8,8.9,10.1,9.2,9,7.8,9.4,11.9,10.1,13.1,-,-,-,-,-,10.48,4-5-0,0,,2019/4/1,1904_TBS_日21,福山雅治,香川照之,江波戸哲夫「新装版 銀行支店長」「集団左遷」,,,,,,,,,,,,,,,,,,,,,,,,,,,香川照之,,,,31,,15,15,11,,,13,10,,,,,,,,,,,,,,,,10.33,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,あなたの番です,8.3,6.5,6.4,7.1,6.5,6.3,6.4,6.7,8,7.9,-,-,-,-,-,7.01,4-5-0,0,,2019/4/1,1904_NTV_日22,原田知世,田中圭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,トレース,12.3,11.8,9.6,11,10,10.4,9.9,9.8,9.8,10.6,11.5,-,-,-,-,10.75,2004/5/1,0,,2019/1/1,1901_CX_月21,錦戸亮,新木優子,古賀慶「トレース～科捜研法医研究員の追想～」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.60909091,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
40,後妻業,8.7,6.5,6.2,5.9,5.6,5.7,6.2,5.7,5.1,-,-,-,-,-,-,6.25,2-6-0,0,,2019/1/1,1901_CX_火21,木村佳乃,高橋克典,黒川博行「後妻業」,,,,,,,,,,,,,,木村佳乃,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.177777778,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,初めて恋をした日に読む話,8.6,9,8.8,7.8,7.3,8.6,7.8,8.7,8.8,9.6,-,-,-,-,-,8.5,5-4-0,0,,2019/1/1,1901_TBS_火22,深田恭子,永山絢斗,持田あき「初めて恋をした日に読む話」,,,,,,,,,,,,,,深田恭子,,,20,17,21,13,18,18,8,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,8.5,20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,家売るオンナの逆襲,12.7,12.9,11.4,10.7,11.5,11.2,11,10.2,10.2,12.6,-,-,-,-,-,11.46,2003/5/1,11.6,2,2019/1/1,1901_NTV_水22,北川景子,松田翔太,,,,,,,,,,,,,,,北川景子,,,,15,18,14,4,4,2,4,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.44,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,ハケン占い師アタル,12.1,10.9,10,10.3,10.3,9.5,10.9,9.8,11.3,-,-,-,-,-,-,10.65,2003/4/1,0,,2019/1/1,1901_EX_木21,杉咲花,小澤征悦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.56666667,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,QUEEN,9.3,5.8,6.4,7.1,7.3,6.8,6.2,6.1,6.6,6,-,-,-,-,-,6.83,4-5-0,0,,2019/1/1,1901_CX_木22,竹内結子,水川あさみ,,,,,,,,,,,,,,,竹内結子,,,8,13,8,25,,16,26,29,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,6.76,32,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,人生が楽しくなる幸せの法則,3.8,3.4,3.2,3.4,2.3,2.6,2.7,2.6,2.6,3.2,-,-,-,-,-,2.98,2004/4/1,0,,2019/1/1,1901_NTV_木23,夏菜,高橋メアリージュン,山ケイ「ちょうどいいブスのススメ」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,メゾン・ド・ポリス,12.7,12.4,10.7,10.2,9.6,9.9,8.3,9.1,9.4,10.2,-,-,-,-,-,10.31,4-5-0,0,,2019/1/1,1901_TBS_金22,高畑充希,西島秀俊,加藤実秋「メゾン・ド・ポリス」,,,,,,,,,,,,,,高畑充希,,,,,,,,,,,17,20,西島秀俊,,,,,,,,30,31,26,22,25,,,,,,,,,,,,,,,,10.25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
