drama_title,drama_category,,,main_actor,start_at
警視庁継続捜査班,刑事ドラマ,テレビ朝日,木曜21:00 - 21:54,木村佳乃,2010-07-01
GOLD,人間ドラマ,フジテレビ,木曜22:00 - 22:54,天海祐希,2010-07-01
日本人の知らない日本語,人間コメディ,日本テレビ,木曜23:58 - 翌0:38,仲里依紗,2010-07-01
もやしもん,ファンタジーコメディ,フジテレビ,金曜0:45 - 1:15,中村優一,2010-07-01
崖っぷちのエリー～この世でいちばん大事な「カネ」の話～,人間ドラマ,テレビ朝日,金曜21:00 - 21:54,山田優,2010-07-01
うぬぼれ刑事,刑事コメディ,TBS,金曜22:00 - 22:54,長瀬智也,2010-07-01
熱海の捜査官,刑事サスペンス,テレビ朝日,金曜23:15 - 翌0:15,オダギリジョー,2010-07-01
モテキ,恋愛コメディ,テレビ東京,土曜0:12 - 0:52,森山未來,2010-07-01
桂ちづる診察日録,時代劇,NHK,土曜19:30 - 20:00,市川由衣,2010-07-01
ハンマーセッション!,学園ドラマ,TBS,土曜19:56 - 20:54,速水もこみち,2010-07-01
美丘-君がいた日々-,ヒューマンドラマ,日本テレビ,土曜21:00 - 21:54,吉高由里子,2010-07-01
鉄の骨,経済ドラマ,NHK,土曜21:00 - 21:53,小池徹平,2010-07-01
チャンス,スポーツヒューマン,NHK,土曜21:00 - 21:53,藤原紀香,2010-07-01
龍馬伝,大河ドラマ,NHK,日曜20:00 - 20:45,福山雅治,2010-07-01
GM～踊れドクター,医療ドラマ,TBS,日曜21:00 - 21:54,東山紀之,2010-07-01
流れ星,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,竹野内豊,2010-10-01
モリのアサガオ,犯罪ドラマ,テレビ東京,月曜22:00 - 22:54,伊藤淳史,2010-10-01
フリーター、家を買う。,ヒューマンドラマ,フジテレビ,火曜21:00 - 21:54,二宮和也,2010-10-01
ギルティ 悪魔と契約した女,サスペンス推理,関西テレビ,火曜22:00 - 22:54,菅野美穂,2010-10-01
セカンドバージン,ヒューマンドラマ,NHK,火曜22:00 - 22:43,鈴木京香,2010-10-01
闇金ウシジマくん,サスペンス犯罪,毎日放送,水曜0:55 - 1:25,山田孝之,2010-10-01
クロヒョウ 龍が如く新章,人間ドラマ,毎日放送,水曜1:25 - 1:55,斎藤工,2010-10-01
相棒 Season 9,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2010-10-01
黄金の豚-会計検査庁 特別調査課-,経済ドラマ,日本テレビ,水曜22:00 - 22:54,篠原涼子,2010-10-01
京都地検の女（第6シリーズ）,ミステリードラマ,テレビ朝日,木曜20:00 - 20:54,名取裕子,2010-10-01
ナサケの女～国税局査察官～,経済ドラマ,テレビ朝日,木曜21:00 - 21:54,米倉涼子,2010-10-01
渡る世間は鬼ばかり（第10シリーズ）,ホームドラマ,TBS,木曜21:00 - 21:54,泉ピン子,2010-10-01
医龍-Team Medical Dragon-3,医療ドラマ,フジテレビ,木曜22:00 - 22:54,坂口憲二,2010-10-01
FACE MAKER,推理サスペンス,読売テレビ,木曜23:58 - 翌0:38,永井大,2010-10-01
