drama_title,drama_category,,,main_actor,start_at
走馬灯株式会社,サイコスリラー,TBS,火曜0:20 - 0:59,香椎由宇,2012-07-01
息もできない夏,サスペンスドラマ,フジテレビ,火曜21:00 - 21:54,武井咲,2012-07-01
GTO,学園ドラマ,関西テレビ,火曜22:00 - 22:54,AKIRA,2012-07-01
つるかめ助産院～南の島から～,医療ヒューマン,NHK,火曜22:00 - 22:48,仲里依紗,2012-07-01
眠れる森の熟女,恋愛ドラマ,NHK,火曜22:55 - 23:24,草刈民代,2012-07-01
ドラゴン青年団,冒険コメディー,毎日放送,水曜0:55 - 1:25,安田章大,2012-07-01
警視庁捜査一課9係 第7シリーズ,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,渡瀬恒彦,2012-07-01
トッカン-特別国税徴収官-,経済ドラマ,日本テレビ,水曜22:00 - 22:54,井上真央,2012-07-01
京都地検の女 第8シリーズ,検事ドラマ,テレビ朝日,木曜20:00 - 20:54,名取裕子,2012-07-01
遺留捜査 第2シリーズ,刑事ドラマ,テレビ朝日,木曜21:00 - 21:54,上川隆也,2012-07-01
ビギナーズ!,警察学園ドラマ,TBS,木曜21:00 - 21:54,藤ヶ谷太輔,2012-07-01
東野圭吾ミステリーズ,ミステリードラマ,フジテレビ,木曜22:00 - 22:54,唐沢寿明,2012-07-01
VISION-殺しが見える女-,SFサスペンス,読売テレビ,木曜23:58 - 翌0:38,山田優,2012-07-01
呪報2405 ワタシが死ぬ理由,ホラードラマ,関西テレビ,金曜1:00 - 1:30,高橋愛,2012-07-01
戦国BASARA-MOONLIGHT PARTY-,時代劇,毎日放送,金曜1:25 - 1:55,林遣都,2012-07-01
黒の女教師,学園サスペンス,TBS,金曜22:00 - 22:54,榮倉奈々,2012-07-01
ボーイズ・オン・ザ・ラン,ヒューマンコメディー,テレビ朝日,金曜23:15 - 翌0:15,丸山隆平,2012-07-01
マジすか学園3,アクションドラマ,テレビ東京,土曜0:12 - 0:53,島崎遥香,2012-07-01
ゴーストママ捜査線～僕とママの不思議な100日～,警察ファンタジー,日本テレビ,土曜21:00 - 21:54,仲間由紀恵,2012-07-01
主に泣いてます,恋愛コメディ,フジテレビ,土曜23:10 - 23:55,菜々緒,2012-07-01
スプラウト,学園恋愛ドラマ,日本テレビ,日曜0:50 - 1:20,知念侑李,2012-07-01
メグたんって魔法つかえるの?,ファンタジーコメディー,日本テレビ,日曜1:20 - 1:35,小嶋陽菜,2012-07-01
平清盛,大河ドラマ,NHK,日曜20:00 - 20:45,松山ケンイチ,2012-07-01
サマーレスキュー～天空の診療所～,医療ドラマ,TBS,日曜21:00 - 21:54,向井理,2012-07-01
ビューティフルレイン,ホームヒューマン,フジテレビ,日曜21:00 - 21:54,豊川悦司,2012-07-01
パーフェクト・ブルー,推理ミステリー,TBS,月曜20:00 - 20:54,瀧本美織,2012-10-01
PRICELESS～あるわけねぇだろ、んなもん!～,社会派ドラマ,フジテレビ,月曜21:00 - 21:54,木村拓哉,2012-10-01
イロドリヒムラ,オムニバスドラマ,TBS,火曜0:20 - 0:59,日村勇紀,2012-10-01
遅咲きのヒマワリ～ボクの人生、リニューアル～,ヒューマンドラマ,フジテレビ,火曜21:00 - 21:54,生田斗真,2012-10-01
ゴーイング マイ ホーム,ホームファンタジー,関西テレビ,火曜22:00 - 22:54,阿部寛,2012-10-01
シングルマザーズ,ホームドラマ,NHK,火曜22:00 - 22:48,沢口靖子,2012-10-01
恋するハエ女,ロマンティック・コメディ,NHK,火曜22:55 - 23:24,ミムラ,2012-10-01
花のズボラ飯,料理ドラマ,毎日放送,水曜0:55 - 1:25,倉科カナ,2012-10-01
ガールズトーク～十人のシスターたち～,オムニバスドラマ,テレビ朝日,水曜1:51 - 2:21,,2012-10-01
相棒11,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2012-10-01
東京全力少女,ホームコメディ,日本テレビ,水曜22:00 - 22:54,武井咲,2012-10-01
孤独のグルメ Season2,グルメドラマ,テレビ東京,水曜23:58 - 翌0:45,松重豊,2012-10-01
シュガーレス,学園アクションドラマ,日本テレビ,木曜1:29 - 1:59,白濱亜嵐,2012-10-01
捜査地図の女,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,真矢みき,2012-10-01
ドクターX～外科医・大門未知子～,医療ドラマ,テレビ朝日,木曜21:00 - 21:54,米倉涼子,2012-10-01
レジデント～5人の研修医,医療ドラマ,TBS,木曜21:00 - 21:54,仲里依紗,2012-10-01
結婚しない,恋愛ドラマ,フジテレビ,木曜22:00 - 22:54,菅野美穂,2012-10-01
赤川次郎原作 毒<ポイズン>,犯罪サスペンス,読売テレビ,木曜23:58 - 翌0:38,綾部祐二,2012-10-01
ピロートーク～ベッドの思惑～,コメディドラマ,関西テレビ,金曜1:00 - 1:30,田畑智子,2012-10-01
大奥～誕生［有功・家光篇］,時代劇,TBS,金曜22:00 - 22:54,堺雅人,2012-10-01
匿名探偵,推理ドラマ,テレビ朝日,金曜23:15 - 翌0:15,高橋克典,2012-10-01
勇者ヨシヒコと悪霊の鍵,冒険コメディ,テレビ東京,土曜0:12 - 0:53,山田孝之,2012-10-01
好好!キョンシーガール～東京電視台戦記～,パロディドラマ,テレビ東京,土曜0:52 - 1:23,川島海荷,2012-10-01
悪夢ちゃん,SF・ファンタジードラマ,日本テレビ,土曜21:00 - 21:54,北川景子,2012-10-01
高校入試,学園ミステリー,フジテレビ,土曜23:10 - 23:55,長澤まさみ,2012-10-01
Piece,恋愛ミステリー,日本テレビ,日曜0:55 - 1:25,中山優馬,2012-10-01
平清盛,大河ドラマ,NHK,日曜20:00 - 20:45,松山ケンイチ,2012-10-01
MONSTERS,刑事ドラマ,TBS,日曜21:00 - 21:54,香取慎吾,2012-10-01
TOKYOエアポート～東京空港管制保安部～,空港ドラマ,フジテレビ,日曜21:00 - 21:54,深田恭子,2012-10-01
ハンチョウ6～警視庁安積班～,刑事ドラマ,TBS,月曜20:00 - 20:54,佐々木蔵之介,2013-01-01
ビブリア古書堂の事件手帖,ミステリードラマ,フジテレビ,月曜21:00 - 21:54,剛力彩芽,2013-01-01
終電バイバイ,オムニバスドラマ,TBS,火曜0:20 - 0:59,濱田岳,2013-01-01
ラストホープ,医療ドラマ,フジテレビ,火曜21:00 - 21:54,相葉雅紀,2013-01-01
サキ,サスペンスドラマ,関西テレビ,火曜22:00 - 22:54,仲間由紀恵,2013-01-01
いつか陽のあたる場所で,ヒューマンドラマ,NHK,火曜22:00 - 22:48,上戸彩,2013-01-01
書店員ミチルの身の上話,サスペンスドラマ,NHK,火曜22:55 - 23:24,戸田恵梨香,2013-01-01
コドモ警視,刑事ドラマ,毎日放送,水曜0:55 - 1:25,マリウス葉,2013-01-01
ガールズトーク～十人のシスターたち～,オムニバスドラマ,テレビ朝日,水曜1:51 - 2:21,,2013-01-01
相棒11,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2013-01-01
シェアハウスの恋人,ラブコメディー,日本テレビ,水曜22:00 - 22:54,水川あさみ,2013-01-01
科捜研の女 第12シリーズ,サスペンスドラマ,テレビ朝日,木曜20:00 - 20:54,沢口靖子,2013-01-01
おトメさん,ホームドラマ,テレビ朝日,木曜21:00 - 21:54,黒木瞳,2013-01-01
あぽやん～走る国際空港,空港ドラマ,TBS,木曜21:00 - 21:54,伊藤淳史,2013-01-01
最高の離婚,ヒューマンドラマ,フジテレビ,木曜22:00 - 22:54,瑛太,2013-01-01
お助け屋☆陣八,人間ドラマ,読売テレビ,木曜23:58 - 翌0:38,宮川大輔,2013-01-01
ヨメ代行はじめました。,ホームドラマ,関西テレビ,金曜1:00 - 1:30,松山メアリ,2013-01-01
夜行観覧車,サスペンスドラマ,TBS,金曜22:00 - 22:54,鈴木京香,2013-01-01
信長のシェフ,SF歴史ドラマ,テレビ朝日,金曜23:15 - 翌0:15,玉森裕太,2013-01-01
まほろ駅前番外地,人間ドラマ,テレビ東京,土曜0:12 - 0:53,瑛太,2013-01-01
ミエリーノ柏木,恋愛ドラマ,テレビ東京,土曜0:52 - 1:23,柏木由紀,2013-01-01
泣くな、はらちゃん,ファンタジードラマ,日本テレビ,土曜21:00 - 21:54,長瀬智也,2013-01-01
カラマーゾフの兄弟,サスペンスドラマ,フジテレビ,土曜23:10 - 23:55,市原隼人,2013-01-01
心療中-in the Room-,人間ドラマ,日本テレビ,日曜0:50 - 1:20,稲垣吾郎,2013-01-01
八重の桜,大河ドラマ,NHK,日曜20:00 - 20:45,綾瀬はるか,2013-01-01
とんび,ホームヒューマン,TBS,日曜21:00 - 21:54,内野聖陽,2013-01-01
dinner,料理ドラマ,フジテレビ,日曜21:00 - 21:54,江口洋介,2013-01-01
確証～警視庁捜査3課,刑事ドラマ,TBS,月曜20:00 - 20:54,高橋克実,2013-04-01
ガリレオ 第2シーズン,推理ドラマ,フジテレビ,月曜21:00 - 21:54,福山雅治,2013-04-01
放課後グルーヴ,学園ドラマ,TBS,火曜0:28 - 1:07,高梨臨,2013-04-01
鴨、京都へ行く。-老舗旅館の女将日記-,コメディドラマ,フジテレビ,火曜21:00 - 21:54,松下奈緒,2013-04-01
幽かな彼女,ファンタジーコメディ,関西テレビ,火曜22:00 - 22:54,香取慎吾,2013-04-01
第二楽章,音楽恋愛ドラマ,NHK,火曜22:00 - 22:48,羽田美智子,2013-04-01
クロユリ団地～序章～,ホラードラマ,TBS,水曜2:28 - 2:58,,2013-04-01
遺留捜査 第3シリーズ,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,上川隆也,2013-04-01
雲の階段,医療恋愛ドラマ,日本テレビ,水曜22:00 - 22:54,長谷川博己,2013-04-01
家族ゲーム,ホームサスペンス,フジテレビ,水曜22:00 - 22:54,櫻井翔,2013-04-01
めしばな刑事タチバナ,グルメドラマ,テレビ東京,水曜23:58 - 翌0:45,佐藤二朗,2013-04-01
刑事110キロ,刑事コメディ,テレビ朝日,木曜20:00 - 20:54,石塚英彦,2013-04-01
ダブルス～二人の刑事,刑事ドラマ,テレビ朝日,木曜21:00 - 21:54,伊藤英明,2013-04-01
潜入探偵トカゲ,推理アクション,TBS,木曜21:00 - 21:54,松田翔太,2013-04-01
ラスト�｡シンデレラ,恋愛ドラマ,フジテレビ,木曜22:00 - 22:54,篠原涼子,2013-04-01
でたらめヒーロー,ホームドラマ,読売テレビ,木曜23:58 - 翌0:38,佐藤隆太,2013-04-01
タンクトップファイター,アクションサスペンス,毎日放送,金曜0:58 - 1:28,小野恵令奈,2013-04-01
TAKE FIVE～俺たちは愛を盗めるか～,犯罪ドラマ,TBS,金曜22:00 - 22:54,唐沢寿明,2013-04-01
お天気お姉さん,推理ドラマ,テレビ朝日,金曜23:15 - 翌0:15,武井咲,2013-04-01
みんな!エスパーだよ!,SFコメディ,テレビ東京,土曜0:12 - 0:53,染谷将太,2013-04-01
ヴァンパイア・ヘヴン,ファンタジー恋愛,テレビ東京,土曜0:52 - 1:23,大政絢,2013-04-01
35歳の高校生,学園ドラマ,日本テレビ,土曜21:00 - 21:54,米倉涼子,2013-04-01
間違われちゃった男,コメディドラマ,フジテレビ,土曜23:10 - 23:55,古田新太,2013-04-01
BAD BOYS J,アクションドラマ,日本テレビ,日曜0:50 - 1:20,中島健人,2013-04-01
八重の桜,大河ドラマ,NHK,日曜20:00 - 20:45,綾瀬はるか,2013-04-01
空飛ぶ広報室,人間ドラマ,TBS,日曜21:00 - 21:54,新垣結衣,2013-04-01
名もなき毒,ミステリードラマ,TBS,月曜20:00 - 20:54,小泉孝太郎,2013-07-01
SUMMER NUDE,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,山下智久,2013-07-01
天魔さんがゆく,ホラーコメディ,TBS,火曜0:28 - 1:07,堂本剛,2013-07-01
超絶☆絶叫ランド,ホラードラマ,中部日本放送,火曜2:42 - 3:12,SUPER☆GiRLS,2013-07-01
救命病棟24時 第5シリーズ,医療ドラマ,フジテレビ,火曜21:00 - 21:54,松嶋菜々子,2013-07-01
スターマン・この星の恋,ホーム恋愛,関西テレビ,火曜22:00 - 22:54,広末涼子,2013-07-01
激流～私を憶えていますか?～,ミステリードラマ,NHK,火曜22:00 - 22:48,田中麗奈,2013-07-01
ぶっせん,学園コメディー,TBS,水曜2:28 - 2:58,吉沢亮,2013-07-01
警視庁捜査一課9係 第8シリーズ,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,渡瀬恒彦,2013-07-01
Woman,ヒューマンドラマ,日本テレビ,水曜22:00 - 22:54,満島ひかり,2013-07-01
ショムニ2013,コメディドラマ,フジテレビ,水曜22:00 - 22:54,江角マキコ,2013-07-01
孤独のグルメ Season3,グルメドラマ,テレビ東京,水曜23:58 - 翌0:45,松重豊,2013-07-01
フレネミー ～どぶねずみの街～,クライムサスペンス,日本テレビ,木曜1:29 - 1:59,SHOKICHI,2013-07-01
京都地検の女 第9シリーズ,検事ドラマ,テレビ朝日,木曜19:58 - 20:54,名取裕子,2013-07-01
DOCTORS2 最強の名医,医療ドラマ,テレビ朝日,木曜21:00 - 21:54,沢村一樹,2013-07-01
ぴんとこな,恋愛ドラマ,TBS,木曜21:00 - 21:54,玉森裕太,2013-07-01
"Oh,My Dad!!",ホームドラマ,フジテレビ,木曜22:00 - 22:54,織田裕二,2013-07-01
町医者ジャンボ!!,医療ドラマ,読売テレビ,木曜23:58 - 翌0:38,眞木大輔,2013-07-01
悪霊病棟,ホラードラマ,毎日放送,金曜0:58 - 1:28,夏帆,2013-07-01
なるようになるさ。,ホームドラマ,TBS,金曜22:00 - 22:54,舘ひろし,2013-07-01
警部補 矢部謙三2,刑事ドラマ,テレビ朝日,金曜23:15 - 翌0:15,生瀬勝久,2013-07-01
リミット,サバイバルサスペンス,テレビ東京,土曜0:12 - 0:53,桜庭ななみ,2013-07-01
たべるダケ,グルメドラマ,テレビ東京,土曜0:52 - 1:23,後藤まりこ,2013-07-01
斉藤さん2,学園ドラマ,日本テレビ,土曜21:00 - 21:54,観月ありさ,2013-07-01
山田くんと7人の魔女,人間ドラマ,フジテレビ,土曜23:10 - 23:55,西内まりや,2013-07-01
仮面ティーチャー,学園ドラマ,日本テレビ,日曜0:50 - 1:20,藤ヶ谷太輔,2013-07-01
リアル脱出ゲーム 密室美少女,ミステリードラマ,テレビ東京,日曜0:50 - 1:15,,2013-07-01
八重の桜,大河ドラマ,NHK,日曜20:00 - 20:45,綾瀬はるか,2013-07-01
半沢直樹,経済ドラマ,TBS,日曜21:00 - 21:54,堺雅人,2013-07-01
刑事のまなざし,刑事ドラマ,TBS,月曜20:00 - 20:54,椎名桔平,2013-10-01
海の上の診療所,医療恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,松田翔太,2013-10-01
変身インタビュアーの憂鬱,推理コメディ,TBS,火曜0:28 - 1:07,中丸雄一,2013-10-01
ミス・パイロット,空港ドラマ,フジテレビ,火曜21:00 - 21:54,堀北真希,2013-10-01
よろず占い処 陰陽屋へようこそ,人間ドラマ,関西テレビ,火曜22:00 - 22:54,錦戸亮,2013-10-01
相棒12,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2013-10-01
ダンダリン 労働基準監督官,経済ドラマ,日本テレビ,水曜22:00 - 23:00,竹内結子,2013-10-01
リーガルハイ,法廷ものコメディー,フジテレビ,水曜22:00 - 22:54,堺雅人,2013-10-01
科捜研の女 第13シリーズ,サスペンスドラマ,テレビ朝日,木曜19:58 - 20:54,沢口靖子,2013-10-01
ドクターX～外科医・大門未知子～,医療ドラマ,テレビ朝日,木曜21:00 - 21:54,米倉涼子,2013-10-01
夫のカノジョ,ホームコメディ,TBS,木曜21:00 - 21:54,川口春奈,2013-10-01
独身貴族,ロマンティック・コメディ,フジテレビ,木曜22:00 - 22:54,草_剛,2013-10-01
ハクバノ王子サマ 純愛適齢期,恋愛ドラマ,読売テレビ,木曜23:58 - 翌0:38,優香,2013-10-01
彼岸島,サバイバルホラー,毎日放送,金曜0:58 - 1:28,白石隼也,2013-10-01
家族の裏事情,ホームドラマ,フジテレビ,金曜19:57 - 20:54,財前直見,2013-10-01
刑事吉永誠一 涙の事件簿,刑事ミステリー,テレビ東京,金曜19:58 - 20:54,船越英一郎,2013-10-01
クロコーチ,クライム・サスペンス,TBS,金曜22:00 - 22:54,長瀬智也,2013-10-01
都市伝説の女 Part2,刑事コメディー,テレビ朝日,金曜23:15 - 翌0:15,長澤まさみ,2013-10-01
殺しの女王蜂,アクションサスペンス,テレビ東京,土曜0:12 - 0:52,モデルガールズ,2013-10-01
ノーコン・キッド ～ぼくらのゲーム史～,人間ドラマ,テレビ東京,土曜0:52 - 1:23,田中圭,2013-10-01
東京バンドワゴン～下町大家族物語,ホームドラマ,日本テレビ,土曜21:00 - 21:54,亀梨和也,2013-10-01
ハニー・トラップ,スパイドラマ,フジテレビ,土曜23:10 - 23:55,AKIRA,2013-10-01
東京トイボックス,会社ドラマ,テレビ東京,土曜23:55 - 翌0:20,要潤,2013-10-01
裁判長っ!おなか空きました!,法廷もの,日本テレビ,日曜1:20 - 1:35,北山宏光,2013-10-01
八重の桜,大河ドラマ,NHK,日曜20:00 - 20:45,綾瀬はるか,2013-10-01
安堂ロイド～A.I. knows LOVE?～,SFドラマ,TBS,日曜21:00 - 21:54,木村拓哉,2013-10-01
隠蔽捜査,刑事ドラマ,TBS,月曜20:00 - 20:54,杉本哲太,2014-01-01
失恋ショコラティエ,恋愛ドラマ,フジテレビ,月曜21:00 - 21:54,松本潤,2014-01-01
ダークシステム 恋の王座決定戦,恋愛ドラマ,TBS,火曜0:28 - 1:07,八乙女光,2014-01-01
恋文日和,恋愛ドラマ,日本テレビ,火曜1:29 - 1:59,E-girls,2014-01-01
福家警部補の挨拶,刑事ドラマ,フジテレビ,火曜21:00 - 21:54,檀れい,2014-01-01
チーム・バチスタ4 螺鈿迷宮,医療ミステリー,関西テレビ,火曜22:00 - 22:54,伊藤淳史,2014-01-01
紙の月,サスペンスドラマ,NHK,火曜22:00 - 22:48,原田知世,2014-01-01
相棒12,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2014-01-01
明日、ママがいない,ヒューマンドラマ,日本テレビ,水曜22:00 - 23:00,芦田愛菜,2014-01-01
僕のいた時間,ヒューマンドラマ,フジテレビ,水曜22:00 - 22:54,三浦春馬,2014-01-01
科捜研の女 第13シリーズ,サスペンスドラマ,テレビ朝日,木曜19:58 - 20:54,沢口靖子,2014-01-01
緊急取調室,刑事ドラマ,テレビ朝日,木曜21:00 - 21:54,天海祐希,2014-01-01
Dr.DMAT,医療サスペンス,TBS,木曜21:00 - 21:54,大倉忠義,2014-01-01
医龍4～Team Medical Dragon～,医療ドラマ,フジテレビ,木曜22:00 - 22:54,坂口憲二,2014-01-01
慰謝料弁護士～あなたの涙、お金に変えましょう～,裁判ドラマ,読売テレビ,木曜23:59 - 翌0:54,田中直樹,2014-01-01
闇金ウシジマくん Season2,犯罪ドラマ,毎日放送,金曜0:58 - 1:28,山田孝之,2014-01-01
天誅～闇の仕置人～,SFサスペンスドラマ,フジテレビ,金曜19:57 - 20:54,小野ゆり子,2014-01-01
三匹のおっさん,人間ドラマ,テレビ東京,金曜19:58 - 20:54,北大路欣也,2014-01-01
夜のせんせい,学園ドラマ,TBS,金曜22:00 - 22:54,観月ありさ,2014-01-01
私の嫌いな探偵,推理ドラマ,テレビ朝日,金曜23:15 - 翌0:15,剛力彩芽,2014-01-01
なぞの転校生,SFドラマ,テレビ東京,土曜0:12 - 0:52,中村蒼,2014-01-01
ウレロ☆未体験少女,,テレビ東京,土曜0:52 - 1:23,劇団ひとり,2014-01-01
戦力外捜査官,刑事ドラマ,日本テレビ,土曜21:00 - 21:54,武井咲,2014-01-01
ロストデイズ,恋愛サスペンス,フジテレビ,土曜23:10 - 23:55,瀬戸康史,2014-01-01
大東京トイボックス,会社ドラマ,テレビ東京,土曜23:55 - 翌0:20,足立梨花,2014-01-01
SHARK,音楽ドラマ,日本テレビ,日曜0:50 - 1:20,平野紫耀,2014-01-01
軍師官兵衛,大河ドラマ,NHK,日曜20:00 - 20:45,岡田准一,2014-01-01
S -最後の警官-,警察ドラマ,TBS,日曜21:00 - 21:54,向井理,2014-01-01
ホワイト・ラボ～警視庁特別科学捜査班～,刑事ドラマ,TBS,月曜20:00 - 20:54,北村一輝,2014-04-01
極悪がんぼ,金融ドラマ,フジテレビ,月曜21:00 - 21:54,尾野真千子,2014-04-01
ビター・ブラッド,刑事ドラマ,フジテレビ,火曜21:00 - 21:54,佐藤健,2014-04-01
なるようになるさ。 シーズン2,ホームドラマ,TBS,火曜22:00 - 22:54,舘ひろし,2014-04-01
ブラック・プレジデント,人間ドラマ,関西テレビ,火曜22:00 - 22:54,沢村一樹,2014-04-01
サイレント・プア,ヒューマンドラマ,NHK,火曜22:00 - 22:48,深田恭子,2014-04-01
新解釈・日本史,歴史ドラマ,毎日放送,水曜1:11 - 1:41,ムロツヨシ,2014-04-01
TEAM -警視庁特別犯罪捜査本部-,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,小澤征悦,2014-04-01
花咲舞が黙ってない,オフィスドラマ,日本テレビ,水曜22:00 - 23:00,杏,2014-04-01
SMOKING GUN～決定的証拠～,刑事ドラマ,フジテレビ,水曜22:00 - 22:54,香取慎吾,2014-04-01
俺のダンディズム,ダンディズムドラマ,テレビ東京,水曜23:58 - 翌0:45,滝藤賢一,2014-04-01
刑事110キロ シーズン2,刑事ドラマ,テレビ朝日,木曜19:58 - 20:54,石塚英彦,2014-04-01
BORDER 警視庁捜査一課殺人犯捜査第4係,刑事ドラマ,テレビ朝日,木曜21:00 - 21:54,小栗旬,2014-04-01
MOZU Season1～百舌の叫ぶ夜～,刑事ドラマ,TBS,木曜21:00 - 21:54,西島秀俊,2014-04-01
続・最後から二番目の恋,恋愛ドラマ,フジテレビ,木曜22:00 - 22:54,小泉今日子,2014-04-01
リアル脱出ゲームTV,,TBS,木曜23:53 - 翌0:38,バカリズム,2014-04-01
トクボウ 警察庁特殊防犯課,刑事ドラマ,読売テレビ,木曜23:59 - 翌0:54,伊原剛志,2014-04-01
マルホの女～保険犯罪調査員～,推理ドラマ,テレビ東京,金曜19:58 - 20:54,名取裕子,2014-04-01
アリスの棘,復讐ドラマ,TBS,金曜22:00 - 22:54,上野樹里,2014-04-01
死神くん,ハートフルドラマ,テレビ朝日,金曜23:15 - 翌0:15,大野智,2014-04-01
リバースエッジ 大川端探偵社,推理ドラマ,テレビ東京,土曜0:12 - 0:52,オダギリジョー,2014-04-01
セーラーゾンビ,青春ホラードラマ,テレビ東京,土曜0:52 - 1:23,大和田南那,2014-04-01
弱くても勝てます～青志先生とへっぽこ高校球児の野望～,学園ドラマ,日本テレビ,土曜21:00 - 21:54,二宮和也,2014-04-01
ロング・グッドバイ,,NHK,土曜21:00 - 21:58,浅野忠信,2014-04-01
ファースト・クラス,女性ドラマ,フジテレビ,土曜23:10 - 23:55,沢尻エリカ,2014-04-01
SHARK～2nd Season～,,日本テレビ,日曜0:50 - 1:20,重岡大毅,2014-04-01
軍師官兵衛,大河ドラマ,NHK,日曜20:00 - 20:45,岡田准一,2014-04-01
ルーズヴェルト・ゲーム,サスペンスドラマ,TBS,日曜21:00 - 21:54,唐沢寿明,2014-04-01
ペテロの葬列,ミステリードラマ,TBS,月曜20:00 - 20:54,小泉孝太郎,2014-07-01
HERO,検事ドラマ,フジテレビ,月曜21:00 - 21:54,木村拓哉,2014-07-01
あすなろ三三七拍子,青春ドラマ,フジテレビ,火曜21:00 - 21:54,柳葉敏郎,2014-07-01
GTO,学園ドラマ,関西テレビ,火曜22:00 - 22:54,AKIRA,2014-07-01
東京スカーレット～警視庁NS係,刑事ドラマ,TBS,火曜22:00 - 22:54,水川あさみ,2014-07-01
聖女,恋愛サスペンスドラマ,NHK,火曜22:00 - 22:48,広末涼子,2014-07-01
おわこんTV,業界ドラマ,NHK,火曜23:15 - 23:45,千葉真一,2014-07-01
アゲイン!!,青春ドラマ,毎日放送,水曜1:11 - 1:41,藤井流星,2014-07-01
警視庁捜査一課9係 Season9,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,渡瀬恒彦,2014-07-01
ST 赤と白の捜査ファイル,刑事ドラマ,日本テレビ,水曜22:00 - 23:00,藤原竜也,2014-07-01
若者たち2014,青春ドラマ,フジテレビ,水曜22:00 - 22:54,妻夫木聡,2014-07-01
孤独のグルメ Season4,料理ドラマ,テレビ東京,水曜23:58 - 翌0:45,松重豊,2014-07-01
信長のシェフ Part2,戦国ドラマ,テレビ朝日,木曜19:58 - 20:54,玉森裕太,2014-07-01
ゼロの真実～監察医・松本真央～,ミステリードラマ,テレビ朝日,木曜21:00 - 21:54,武井咲,2014-07-01
同窓生～人は、三度、恋をする～,恋愛ドラマ,TBS,木曜21:00 - 21:54,井浦新,2014-07-01
昼顔～平日午後3時の恋人たち～,恋愛ドラマ,フジテレビ,木曜22:00 - 22:54,上戸彩,2014-07-01
獣医さん、事件ですよ,ミステリードラマ,読売テレビ,木曜23:59 - 翌0:54,陣内孝則,2014-07-01
ラスト・ドクター～監察医アキタの検死報告～,ミステリードラマ,テレビ東京,金曜19:58 - 20:54,寺脇康文,2014-07-01
家族狩り,ホームドラマ・サスペンスドラマ,TBS,金曜22:00 - 22:54,松雪泰子,2014-07-01
匿名探偵,推理ドラマ,テレビ朝日,金曜23:15 - 翌0:15,高橋克典,2014-07-01
アオイホノオ,コメディドラマ,テレビ東京,土曜0:12 - 0:52,柳楽優弥,2014-07-01
アラサーちゃん 無修正,エロティックドラマ,テレビ東京,土曜0:52 - 1:23,壇蜜,2014-07-01
金田一少年の事件簿N（neo）,ミステリードラマ,日本テレビ,土曜21:00 - 21:54,山田涼介,2014-07-01
水球ヤンキース,青春ドラマ,フジテレビ,土曜23:10 - 23:55,中島裕翔,2014-07-01
近キョリ恋愛～Season Zero～,恋愛ドラマ,日本テレビ,日曜0:50 - 1:20,阿部顕嵐,2014-07-01
軍師官兵衛,大河ドラマ,NHK,日曜20:00 - 20:45,岡田准一,2014-07-01
おやじの背中,オムニバスドラマ,TBS,日曜21:00 - 21:54,田村正和,2014-07-01
SAKURA～事件を聞く女～,刑事ドラマ,TBS,月曜20:00 - 20:54,仲間由紀恵,2014-10-01
信長協奏曲,歴史ドラマ,フジテレビ,月曜21:00 - 21:54,小栗旬,2014-10-01
すべてがFになる,サスペンスドラマ,フジテレビ,火曜21:00 - 21:54,武井咲,2014-10-01
女はそれを許さない,裁判ドラマ,TBS,火曜22:00 - 22:54,深田恭子,2014-10-01
素敵な選TAXI,コメディードラマ,関西テレビ,火曜22:00 - 22:54,竹野内豊,2014-10-01
さよなら私,,NHK,火曜22:00 - 22:48,永作博美,2014-10-01
深夜食堂3,料理ドラマ,毎日放送,水曜1:11 - 1:41,小林薫,2014-10-01
相棒 season13,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2014-10-01
きょうは会社休みます。,恋愛ドラマ,日本テレビ,水曜22:00 - 23:00,綾瀬はるか,2014-10-01
ファーストクラス,女性ドラマ,フジテレビ,水曜22:00 - 22:54,沢尻エリカ,2014-10-01
科捜研の女 第14シリーズ,サスペンスドラマ,テレビ朝日,木曜19:58 - 20:54,沢口靖子,2014-10-01
ドクターX～外科医・大門未知子～,医療ドラマ,テレビ朝日,木曜21:00 - 21:54,米倉涼子,2014-10-01
MOZU Season2 ～幻の翼～,警察ドラマ,TBS,木曜21:00 - 21:54,西島秀俊,2014-10-01
ママとパパが生きる理由。,ヒューマンドラマ,TBS,木曜21:00 - 21:54,吹石一恵,2014-10-01
ディア・シスター,女性ドラマ,フジテレビ,木曜22:00 - 22:54,石原さとみ,2014-10-01
