,0,1,2,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
0,1910_NTV_木23,1907_CX_月21,1907_CX_火21,1901_NTV_日22,1801_CX_火21,1707_CX_月21,1701_TBS_日21,1610_NTV_土21,1607_CX_木22,1607_NTV_木23,1604_TBS_金22,1604_CX_日21,1601_NTV_土21,1504_CX_火22,1407_NTV_木23,1407_NTV_土21,1404_CX_水22,1401_TBS_日21,1307_CX_月21,1307_CX_木22,1307_NTV_木23,1307_EX_金23,1304_EX_木21,1304_CX_木22,1304_TBS_金22,1301_TBS_月20,1301_CX_火21,1301_NTV_木23,1210_CX_火22,1210_NTV_木23,1210_TBS_金22,1204_TBS_月20,1204_EX_水21,1201_NTV_木23,1110_NTV_木23,1110_EX_日23,1104_TBS_月20,1104_EX_木21,1104_NTV_木23,1104_TBS_日21,1101_NTV_水22,1101_CX_日21,1010_NTV_木23,1010_EX_日23,1007_TBS_月20,1007_CX_火21,1007_TBS_日21,1004_EX_金21,1004_EX_金23,1004_EX_日23,1001_TBS_月20,1001_CX_月21,1001_EX_金21,1001_TBS_土20,0910_CX_火21,0910_TBS_日21,0904_NTV_木23,0901_NTV_木23,0810_NTV_火22,0810_CX_土23,0807_TBS_月20,0807_CX_火22,0807_CX_木22,0807_EX_金21,0710_TBS_木21,0710_CX_土23
1,チート,監察医,WEEKS,今から皆さんは,FINAL　CUT,コード・ブルー,A　LIFE,ラストコップ,吉良奈津子,柿崎真一,結婚できないんじゃなくて,OUR　HOUSE,山猫,書店ガール,獣医さん,金田一少年の事件簿,SMOKING,最後の警官,SUMMER　NUDE,Dad,町医者ジャンボ,矢部謙三,二人の刑事,シンデレラ,TAKE　FIVE,ハンチョウ,ラストホープ,陣八,ゴーイング,毒,大奥,ハンチョウ,アンサー,黒川鈴木,秘密諜報員,俺の空,ハンチョウ,ハガネの女,失恋保険,JIN,美咲ナンバーワン,スクール,FACE　MAKER,小田霧響子の嘘,ハンチョウ,ジョーカー,踊れドクター,失踪人捜査課,矢部謙三,薫子,ハンチョウ,コード・ブルー,宿命,ブラッディ・マンデイ,ライアーゲーム,JIN,LOVE　GAME,リセット,マイ・ガール,Room　Of　King,あんど―なつ,ペアレント,ド・ブル,千万円当てた男,金八先生,SP
