,drama_title,Episode1,Episode2,Episode3,Episode4,Episode5,Episode6,Episode7,Episode8,Episode9,Episode10,Episode11,Episode12,Episode13,Episode14,Episode15,average,suii,start_at,drama_key,main_actor1,main_actor2,original_work,pre_part,part_count,actor_actress_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,2015_1,2016_1,2017_1,2018_1,2019_1,actor_actress_2,2008_2,2009_2,2010_2,2011_2,2012_2,2013_2,2014_2,2015_2,2016_2,2017_2,2018_2,2019_2,actor_actress_3,2008_3,2009_3,2010_3,2011_3,2012_3,2013_3,2014_3,2015_3,2016_3,2017_3,2018_3,2019_3,actor_actress_4,2008_4,2009_4,2010_4,2011_4,2012_4,2013_4,2014_4,2015_4,2016_4,2017_4,2018_4,2019_4,main_actor1_rank,main_actor2_rank,average_calc,pre_slot_vr_average,main_actor1_pt,main_actor2_pt,TV_station_CX,TV_station_EX,TV_station_NTV,TV_station_TBS,start_at_month_1,start_at_month_4,start_at_month_7,start_at_month_10,start_at_year_2011,start_at_year_2012,start_at_year_2013,start_at_year_2014,start_at_year_2015,start_at_year_2016,start_at_year_2017,start_at_year_2018,start_at_year_2019,has_original_work_True,has_original_work_,time_table_土21,time_table_土22,time_table_土23,time_table_日21,time_table_日22,time_table_日23,time_table_月20,time_table_月21,time_table_木20,time_table_木21,time_table_木22,time_table_木23,time_table_水21,time_table_水22,time_table_火21,time_table_火22,time_table_金20,time_table_金22,time_table_金23,actor1_isj,actor2_isj
10,おっさんずラブ,5.8,4.7,3.5,4.6,4.3,4.2,4.3,5.1,-,-,-,-,-,-,-,4.56,3-4-0,2019-10-01,1910_EX_土23,田中圭,吉田鋼太郎,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5625,2.34,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,グランメゾン東京,12.4,13.2,11.8,13.3,12.6,11.8,11.8,11,14.7,11.1,-,-,-,-,-,12.35,2003/5/1,2019-10-01,1910_TBS_日21,木村拓哉,鈴木京香,,0.0,0.0,木村拓哉,,,4,19,14,13,27,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,12.370000000000001,11.96,36.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,ニッポンノワール,7.8,6.5,6.4,6.5,7.1,6.4,6,7.1,6.9,8.1,-,-,-,-,-,6.88,4-5-0,2019-10-01,1910_NTV_日22,賀来賢人,広末涼子,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,11.49,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,監察医 朝顔,13.7,12.3,12.3,12.3,12.3,14.4,11.4,10.2,12.7,12.3,13.3,-,-,-,-,12.56,2003/4/3,2019-07-01,1907_CX_月21,上野樹里,時任三郎,香川まさひと、木村直巳「監察医 朝顔」,0.0,0.0,,,,,,,,,,,,,,上野樹里,,,,18,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.472727272727274,12.15,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,TWO WEEKS,8.4,5.9,6.4,5.4,6.2,6.2,6.1,6,6.7,7.7,-,-,-,-,-,6.55,2004/4/1,2019-07-01,1907_CX_火21,三浦春馬,芳根京子,ソ・ヒョンギョン「TWO WEEKS」,0.0,0.0,三浦春馬,,,30,,23,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,6.500000000000002,6.37,10.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,Heaven？,10.8,9.2,8.7,10.0,7.8,7.5,8.1,7.5,8.5,8.7,-,-,-,-,-,8.68,4-5-0,2019-07-01,1907_TBS_火22,石原さとみ,福士蒼汰,佐々木倫子「Heaven？ ご苦楽レストラン」,0.0,0.0,,,,,,,,,,,,,,石原さとみ,,,,21,23,19,8,12,5,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68,9.72,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,偽装不倫,10.1,11.2,9.0,9.8,9.4,9.3,11.3,10.9,9.7,12.4,-,-,-,-,-,10.31,4-5-0,2019-07-01,1907_NTV_水22,杏,宮沢氷魚,東村アキコ「偽装不倫」,0.0,0.0,,,,,,,,,,,,,,杏,,,,,,,15,7,11,14,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.31,8.71,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,サイン,14.3,9.5,11.5,9.5,10.7,9.9,10,11.1,12.1,-,-,-,-,-,-,11.09,5-3-0,2019-07-01,1907_EX_木21,大森南朋,松雪泰子,「サイン」,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松雪泰子,,,,,30,,,,,,,,,,10.955555555555556,13.23,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,ルパンの娘,8.4,7.4,8.2,5.8,6,5.4,6.7,5.7,6.9,8.3,9.8,-,-,-,-,7.17,6-4-0,2019-07-01,1907_CX_木22,深田恭子,瀬戸康史,横関大「ルパンの娘」,0.0,0.0,,,,,,,,,,,,,,深田恭子,,,20,17,21,13,18,18,8,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,7.145454545454545,6.71,20.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,わたし旦那をシェアしてた,3.1,3.1,4.0,3.7,2.8,2.5,2.3,4.4,4.1,2.8,-,-,-,-,-,3.28,2002/6/1,2019-07-01,1907_NTV_木23,小池栄子,りょう,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,2.31,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
