edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	doc_path	csr_title	csr_path	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E00021	57110	6010001023786	三菱マテリアル株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10057TJ	有価証券報告書－第90期(平成26年4月1日－平成27年3月31日)	docs/S10057TJ.xbrl				0	1	13	12	1.31489536E9	8.1050501E11	2.37080003E10	3.5698999E10	3.3193001E10	1.25217001E12	4.32265003E11	4.32265003E11	1.04819999E10	8.0	25.33	329.91			1.21487006E12	4.15469994E11	4.15469994E11		7.99	2.94	2.93	4.4	34.52	31.58	2.52	403.0	518.0	352.0	384.0	374.0
E00023	57130	9010401015273	住友金属鉱山株式会社	2014	FY	2015-06-29	2014-04-01	2015-03-31	S1005BQD	有価証券報告書－第90期(平成26年4月1日－平成27年3月31日)	docs/S1005BQD.xbrl				0	1	13	12	5.8162803E8	7.5877102E11	7.7356999E10	1.30236998E11	5.7664999E10	1.00954997E12	6.46345E11	6.46345E11	2.64810004E10	48.0	104.49	1171.6			9.7800402E11	6.2129E11	6.2129E11		9.28	13.32	10.2	17.16	64.02	45.92	4.26	1807.0	2040.0	1312.0	1479.5	1653.25
E00024	57060	7010701011370	三井金属鉱業株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10055WM	有価証券報告書－第90期(平成26年4月1日－平成27年3月31日)	docs/S10055WM.xbrl				0	1	13	12	5.7296614E8	2.25291993E11	1.01179996E10	2.27169997E10	2.57529999E10	3.68960995E11	1.13028997E11	1.13028997E11	3.42599987E9	6.0	45.09	197.91			3.61205006E11	1.01858001E11	1.01858001E11		25.28	6.29	4.49	10.08	30.63	13.3	3.36	290.0	374.0	212.0	226.0	248.0
E00026	57290	2011101016386	日本精鉱株式会社	2014	FY	2015-06-29	2014-04-01	2015-03-31	S1005AW8	有価証券報告書－第120期(平成26年4月1日－平成27年3月31日)	docs/S1005AW8.xbrl				0	2	13	12	1.30295E7	7.2089999E9	3.22E8	4.33E8	2.95E8	5.8470001E9	3.412E9	3.412E9	1.46E8	12.0	24.21	279.36			5.8499999E9	3.32199987E9	3.32199987E9		8.88	7.4	4.47	6.01	58.35	49.49	4.39	334.0	415.0	286.0	306.0	327.0
E00027	14910	7010001008720	中外鉱業株式会社	2014	FY	2015-06-29	2014-04-01	2015-03-31	S1005AUM	有価証券報告書－第123期(平成26年4月1日－平成27年3月31日)	docs/S1005AUM.xbrl				0	2	13	12	2.89747968E8	1.88089999E10	4.7E8	5.33E8	5.41E8	7.4550001E9	6.6829998E9	6.6829998E9	0.0	0.0	1.87	23.08			7.7805E9	6.9590001E9	6.9590001E9		7.77	6.85	2.5	2.83	89.64		0.0	30.0	34.0	21.0	23.0	27.083334
E00028	57140	1010001008750	ＤＯＷＡホールディングス株式会社	2014	FY	2015-06-24	2014-04-01	2015-03-31	S10051OS	有価証券報告書－第112期(平成26年4月1日－平成27年3月31日)	docs/S10051OS.xbrl				0	1	13	12	3.09946016E8	1.51809997E10	7.3820001E9	7.936E9	8.1449999E9	2.24749994E11	9.6639001E10	9.6639001E10	5.4089999E9	18.0	27.1	321.58			2.22101996E11	9.3361496E10	9.3361496E10		8.72	3.57	48.63	52.28	43.0	66.41	5.79	965.0	1243.0	833.0	876.0	948.0
E00030	33150	5010601029770	日本コークス工業株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10053HG	有価証券報告書－第12期(平成26年4月1日－平成27年3月31日)	docs/S10053HG.xbrl				0	1	9	12	3.0234944E8	9.0746003E10	6.2419999E9	5.8499999E9	2.99399987E9	1.12822002E11	4.2495001E10	4.2495001E10	9.05E8	3.0	9.93	140.85			1.10435E11	4.1437E10	4.1437E10		7.23	5.3	6.88	6.45	37.67	30.23	2.18	113.0	124.0	97.0	101.0	110.0
E00032	57150	7010001008803	古河機械金属株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10054VV	有価証券報告書－第148期(平成26年4月1日－平成27年3月31日)	docs/S10054VV.xbrl				0	1	13	12	4.0445568E8	8.5699999E9	3.70599987E9	3.32499994E9	1.948E9	1.54595E11	5.0489E10	5.0436002E10	2.02E9	5.0	4.82	124.82			1.51621992E11	4.847E10	4.8417001E10		4.02	2.19	43.24	38.8	32.62	103.7	4.17	206.0	304.0	187.0	250.0	195.0
E00033	96750	9380001014473	常磐興産株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10055ML	有価証券報告書－第97期(平成26年4月1日－平成27年3月31日)	docs/S10055ML.xbrl				0	1	33	12	8.8087784E7	4.6087E10	1.65500006E9	1.172E9	1.304E9	5.5694E10	1.17619999E10	1.17619999E10	1.75E8	2.0	14.85	133.87			5.5654498E10	1.08214999E10	1.08214999E10	0.0	12.05	2.11	3.59	2.54	21.12	13.42	1.62	153.0	164.0	142.0	152.0	153.7
E00034	88350	8010501031238	太平洋興発株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10057Q3	有価証券報告書－第140期(平成26年4月1日－平成27年3月31日)	docs/S10057Q3.xbrl				0	1	26	12	7.7834488E7	1.79580006E10	3.98E8	4.19E8	2.85E8	2.58090004E10	1.024E10	1.024E10	1.94E8	2.5	3.67	131.62			2.65090007E10	9.9934996E9	9.9919995E9		2.85	1.58	2.22	2.33	39.68	68.07	1.94	98.0	102.0	80.0	84.0	92.5
